ip,owner,department
10.0.0.0,user00,eng
10.0.0.1,user01,finance
10.0.0.2,user02,eng
10.0.0.3,user03,ops
10.0.0.4,user04,finance
10.0.0.5,user05,finance
10.0.0.6,user06,ops
10.0.0.7,user07,finance
10.0.0.8,user08,eng
10.0.0.9,user09,ops
10.0.0.10,user10,finance
10.0.0.11,user11,ops
10.0.0.12,user12,finance
10.0.0.13,user13,finance
10.0.0.14,user14,finance
10.0.0.15,user15,eng
10.0.0.16,user16,eng
10.0.0.17,user17,finance
10.0.0.18,user18,finance
10.0.0.19,user19,finance
10.0.0.20,user20,ops
10.0.0.21,user21,eng
10.0.0.22,user22,finance
10.0.0.23,user23,ops
10.0.0.24,user24,finance
10.0.0.25,user25,finance
10.0.0.26,user26,ops
10.0.0.27,user27,ops
10.0.0.28,user28,ops
10.0.0.29,user29,finance
10.0.0.30,user30,ops
10.0.0.31,user31,ops
10.0.0.32,user32,eng
10.0.0.33,user33,finance
10.0.0.34,user34,finance
10.0.0.35,user35,finance
10.0.0.36,user36,ops
10.0.0.37,user00,finance
10.0.0.38,user01,eng
10.0.0.39,user02,eng
10.0.0.40,user03,finance
10.0.0.41,user04,ops
10.0.0.42,user05,finance
10.0.0.43,user06,ops
10.0.0.44,user07,eng
10.0.0.45,user08,ops
10.0.0.46,user09,ops
10.0.0.47,user10,finance
10.0.0.48,user11,finance
10.0.0.49,user12,ops
10.0.0.50,user13,ops
10.0.0.51,user14,ops
10.0.0.52,user15,finance
10.0.0.53,user16,eng
10.0.0.54,user17,finance
10.0.0.55,user18,ops
10.0.0.56,user19,ops
10.0.0.57,user20,finance
10.0.0.58,user21,ops
10.0.0.59,user22,finance
10.0.0.60,user23,ops
10.0.0.61,user24,finance
10.0.0.62,user25,eng
10.0.0.63,user26,ops
10.0.0.64,user27,ops
10.0.0.65,user28,eng
10.0.0.66,user29,eng
10.0.0.67,user30,eng
10.0.0.68,user31,ops
10.0.0.69,user32,eng
10.0.0.70,user33,eng
10.0.0.71,user34,eng
10.0.0.72,user35,finance
10.0.0.73,user36,finance
10.0.0.74,user00,ops
10.0.0.75,user01,finance
10.0.0.76,user02,finance
10.0.0.77,user03,ops
10.0.0.78,user04,eng
10.0.0.79,user05,ops
10.0.0.80,user06,eng
10.0.0.81,user07,eng
10.0.0.82,user08,ops
10.0.0.83,user09,eng
10.0.0.84,user10,eng
10.0.0.85,user11,ops
10.0.0.86,user12,finance
10.0.0.87,user13,finance
10.0.0.88,user14,ops
10.0.0.89,user15,eng
10.0.0.90,user16,finance
10.0.0.91,user17,eng
10.0.0.92,user18,finance
10.0.0.93,user19,eng
10.0.0.94,user20,eng
10.0.0.95,user21,finance
10.0.0.96,user22,ops
10.0.0.97,user23,finance
10.0.0.98,user24,ops
10.0.0.99,user25,ops
10.0.0.100,user26,eng
10.0.0.101,user27,eng
10.0.0.102,user28,ops
10.0.0.103,user29,eng
10.0.0.104,user30,ops
10.0.0.105,user31,eng
10.0.0.106,user32,ops
10.0.0.107,user33,eng
10.0.0.108,user34,finance
10.0.0.109,user35,finance
10.0.0.110,user36,eng
10.0.0.111,user00,eng
10.0.0.112,user01,ops
10.0.0.113,user02,ops
10.0.0.114,user03,finance
10.0.0.115,user04,finance
10.0.0.116,user05,ops
10.0.0.117,user06,ops
10.0.0.118,user07,eng
10.0.0.119,user08,ops
10.0.0.120,user09,ops
10.0.0.121,user10,ops
10.0.0.122,user11,eng
10.0.0.123,user12,eng
10.0.0.124,user13,ops
10.0.0.125,user14,eng
10.0.0.126,user15,ops
10.0.0.127,user16,eng
10.0.0.128,user17,finance
10.0.0.129,user18,eng
10.0.0.130,user19,eng
10.0.0.131,user20,finance
10.0.0.132,user21,ops
10.0.0.133,user22,finance
10.0.0.134,user23,eng
10.0.0.135,user24,finance
10.0.0.136,user25,finance
10.0.0.137,user26,eng
10.0.0.138,user27,finance
10.0.0.139,user28,ops
10.0.0.140,user29,finance
10.0.0.141,user30,eng
10.0.0.142,user31,eng
10.0.0.143,user32,eng
10.0.0.144,user33,finance
10.0.0.145,user34,finance
10.0.0.146,user35,eng
10.0.0.147,user36,eng
10.0.0.148,user00,ops
10.0.0.149,user01,eng
10.0.0.150,user02,finance
10.0.0.151,user03,eng
10.0.0.152,user04,ops
10.0.0.153,user05,eng
10.0.0.154,user06,ops
10.0.0.155,user07,eng
10.0.0.156,user08,eng
10.0.0.157,user09,ops
10.0.0.158,user10,eng
10.0.0.159,user11,finance
10.0.0.160,user12,finance
10.0.0.161,user13,finance
10.0.0.162,user14,finance
10.0.0.163,user15,finance
10.0.0.164,user16,finance
10.0.0.165,user17,ops
10.0.0.166,user18,finance
10.0.0.167,user19,finance
10.0.0.168,user20,eng
10.0.0.169,user21,ops
10.0.0.170,user22,finance
10.0.0.171,user23,eng
10.0.0.172,user24,eng
10.0.0.173,user25,finance
10.0.0.174,user26,finance
10.0.0.175,user27,eng
10.0.0.176,user28,ops
10.0.0.177,user29,eng
10.0.0.178,user30,ops
10.0.0.179,user31,ops
10.0.0.180,user32,eng
10.0.0.181,user33,finance
10.0.0.182,user34,ops
10.0.0.183,user35,ops
10.0.0.184,user36,ops
10.0.0.185,user00,ops
10.0.0.186,user01,ops
10.0.0.187,user02,ops
10.0.0.188,user03,finance
10.0.0.189,user04,eng
10.0.0.190,user05,ops
10.0.0.191,user06,ops
10.0.0.192,user07,eng
10.0.0.193,user08,eng
10.0.0.194,user09,eng
10.0.0.195,user10,eng
10.0.0.196,user11,finance
10.0.0.197,user12,eng
10.0.0.198,user13,ops
10.0.0.199,user14,eng
10.0.0.200,user15,finance
10.0.0.201,user16,finance
10.0.0.202,user17,finance
10.0.0.203,user18,finance
10.0.0.204,user19,eng
10.0.0.205,user20,finance
10.0.0.206,user21,finance
10.0.0.207,user22,eng
10.0.0.208,user23,ops
10.0.0.209,user24,finance
10.0.0.210,user25,finance
10.0.0.211,user26,finance
10.0.0.212,user27,ops
10.0.0.213,user28,finance
10.0.0.214,user29,ops
10.0.0.215,user30,finance
10.0.0.216,user31,eng
10.0.0.217,user32,ops
10.0.0.218,user33,finance
10.0.0.219,user34,finance
10.0.0.220,user35,finance
10.0.0.221,user36,ops
10.0.0.222,user00,eng
10.0.0.223,user01,finance
10.0.0.224,user02,ops
10.0.0.225,user03,eng
10.0.0.226,user04,eng
10.0.0.227,user05,ops
10.0.0.228,user06,eng
10.0.0.229,user07,eng
10.0.0.230,user08,finance
10.0.0.231,user09,finance
10.0.0.232,user10,eng
10.0.0.233,user11,eng
10.0.0.234,user12,eng
10.0.0.235,user13,eng
10.0.0.236,user14,eng
10.0.0.237,user15,finance
10.0.0.238,user16,finance
10.0.0.239,user17,finance
10.0.0.240,user18,ops
10.0.0.241,user19,eng
10.0.0.242,user20,ops
10.0.0.243,user21,eng
10.0.0.244,user22,eng
10.0.0.245,user23,ops
10.0.0.246,user24,finance
10.0.0.247,user25,ops
10.0.0.248,user26,finance
10.0.0.249,user27,finance
10.0.0.250,user28,ops
10.0.0.251,user29,eng
10.0.0.252,user30,finance
10.0.0.253,user31,ops
10.0.0.254,user32,ops
10.0.0.255,user33,finance
10.0.1.0,user34,ops
10.0.1.1,user35,eng
10.0.1.2,user36,ops
10.0.1.3,user00,finance
10.0.1.4,user01,ops
10.0.1.5,user02,eng
10.0.1.6,user03,ops
10.0.1.7,user04,eng
10.0.1.8,user05,finance
10.0.1.9,user06,eng
10.0.1.10,user07,finance
10.0.1.11,user08,ops
10.0.1.12,user09,ops
10.0.1.13,user10,ops
10.0.1.14,user11,eng
10.0.1.15,user12,ops
10.0.1.16,user13,finance
10.0.1.17,user14,ops
10.0.1.18,user15,finance
10.0.1.19,user16,finance
10.0.1.20,user17,eng
10.0.1.21,user18,ops
10.0.1.22,user19,finance
10.0.1.23,user20,finance
10.0.1.24,user21,ops
10.0.1.25,user22,eng
10.0.1.26,user23,eng
10.0.1.27,user24,ops
10.0.1.28,user25,finance
10.0.1.29,user26,finance
10.0.1.30,user27,eng
10.0.1.31,user28,eng
10.0.1.32,user29,eng
10.0.1.33,user30,finance
10.0.1.34,user31,ops
10.0.1.35,user32,ops
10.0.1.36,user33,eng
10.0.1.37,user34,eng
10.0.1.38,user35,ops
10.0.1.39,user36,eng
10.0.1.40,user00,eng
10.0.1.41,user01,finance
10.0.1.42,user02,finance
10.0.1.43,user03,finance
10.0.1.44,user04,finance
10.0.1.45,user05,eng
10.0.1.46,user06,finance
10.0.1.47,user07,eng
10.0.1.48,user08,finance
10.0.1.49,user09,eng
10.0.1.50,user10,ops
10.0.1.51,user11,ops
10.0.1.52,user12,finance
10.0.1.53,user13,eng
10.0.1.54,user14,ops
10.0.1.55,user15,eng
10.0.1.56,user16,ops
10.0.1.57,user17,finance
10.0.1.58,user18,ops
10.0.1.59,user19,finance
10.0.1.60,user20,eng
10.0.1.61,user21,ops
10.0.1.62,user22,finance
10.0.1.63,user23,eng
10.0.1.64,user24,finance
10.0.1.65,user25,eng
10.0.1.66,user26,ops
10.0.1.67,user27,eng
10.0.1.68,user28,finance
10.0.1.69,user29,ops
10.0.1.70,user30,eng
10.0.1.71,user31,eng
10.0.1.72,user32,eng
10.0.1.73,user33,ops
10.0.1.74,user34,finance
10.0.1.75,user35,ops
10.0.1.76,user36,finance
10.0.1.77,user00,finance
10.0.1.78,user01,finance
10.0.1.79,user02,finance
10.0.1.80,user03,finance
10.0.1.81,user04,ops
10.0.1.82,user05,eng
10.0.1.83,user06,ops
10.0.1.84,user07,finance
10.0.1.85,user08,ops
10.0.1.86,user09,ops
10.0.1.87,user10,eng
10.0.1.88,user11,ops
10.0.1.89,user12,eng
10.0.1.90,user13,finance
10.0.1.91,user14,ops
10.0.1.92,user15,ops
10.0.1.93,user16,finance
10.0.1.94,user17,finance
10.0.1.95,user18,finance
10.0.1.96,user19,ops
10.0.1.97,user20,ops
10.0.1.98,user21,finance
10.0.1.99,user22,ops
10.0.1.100,user23,ops
10.0.1.101,user24,finance
10.0.1.102,user25,eng
10.0.1.103,user26,finance
10.0.1.104,user27,finance
10.0.1.105,user28,finance
10.0.1.106,user29,eng
10.0.1.107,user30,finance
10.0.1.108,user31,eng
10.0.1.109,user32,ops
10.0.1.110,user33,finance
10.0.1.111,user34,ops
10.0.1.112,user35,eng
10.0.1.113,user36,eng
10.0.1.114,user00,ops
10.0.1.115,user01,eng
10.0.1.116,user02,finance
10.0.1.117,user03,finance
10.0.1.118,user04,ops
10.0.1.119,user05,eng
10.0.1.120,user06,eng
10.0.1.121,user07,ops
10.0.1.122,user08,ops
10.0.1.123,user09,ops
10.0.1.124,user10,eng
10.0.1.125,user11,ops
10.0.1.126,user12,finance
10.0.1.127,user13,ops
10.0.1.128,user14,finance
10.0.1.129,user15,ops
10.0.1.130,user16,ops
10.0.1.131,user17,finance
10.0.1.132,user18,eng
10.0.1.133,user19,finance
10.0.1.134,user20,ops
10.0.1.135,user21,finance
10.0.1.136,user22,finance
10.0.1.137,user23,finance
10.0.1.138,user24,finance
10.0.1.139,user25,eng
10.0.1.140,user26,ops
10.0.1.141,user27,ops
10.0.1.142,user28,finance
10.0.1.143,user29,ops
10.0.1.144,user30,finance
10.0.1.145,user31,eng
10.0.1.146,user32,ops
10.0.1.147,user33,ops
10.0.1.148,user34,ops
10.0.1.149,user35,ops
10.0.1.150,user36,eng
10.0.1.151,user00,finance
10.0.1.152,user01,ops
10.0.1.153,user02,finance
10.0.1.154,user03,finance
10.0.1.155,user04,finance
10.0.1.156,user05,eng
10.0.1.157,user06,finance
10.0.1.158,user07,finance
10.0.1.159,user08,ops
10.0.1.160,user09,eng
10.0.1.161,user10,ops
10.0.1.162,user11,finance
10.0.1.163,user12,finance
10.0.1.164,user13,eng
10.0.1.165,user14,eng
10.0.1.166,user15,ops
10.0.1.167,user16,ops
10.0.1.168,user17,ops
10.0.1.169,user18,ops
10.0.1.170,user19,finance
10.0.1.171,user20,ops
10.0.1.172,user21,eng
10.0.1.173,user22,eng
10.0.1.174,user23,ops
10.0.1.175,user24,ops
10.0.1.176,user25,eng
10.0.1.177,user26,ops
10.0.1.178,user27,finance
10.0.1.179,user28,ops
10.0.1.180,user29,ops
10.0.1.181,user30,eng
10.0.1.182,user31,ops
10.0.1.183,user32,finance
10.0.1.184,user33,eng
10.0.1.185,user34,finance
10.0.1.186,user35,eng
10.0.1.187,user36,finance
10.0.1.188,user00,eng
10.0.1.189,user01,eng
10.0.1.190,user02,eng
10.0.1.191,user03,finance
10.0.1.192,user04,ops
10.0.1.193,user05,finance
10.0.1.194,user06,eng
10.0.1.195,user07,finance
10.0.1.196,user08,finance
10.0.1.197,user09,ops
10.0.1.198,user10,eng
10.0.1.199,user11,finance
10.0.1.200,user12,finance
10.0.1.201,user13,ops
10.0.1.202,user14,ops
10.0.1.203,user15,ops
10.0.1.204,user16,eng
10.0.1.205,user17,finance
10.0.1.206,user18,eng
10.0.1.207,user19,finance
10.0.1.208,user20,eng
10.0.1.209,user21,finance
10.0.1.210,user22,ops
10.0.1.211,user23,finance
10.0.1.212,user24,eng
10.0.1.213,user25,eng
10.0.1.214,user26,finance
10.0.1.215,user27,ops
10.0.1.216,user28,finance
10.0.1.217,user29,finance
10.0.1.218,user30,ops
10.0.1.219,user31,eng
10.0.1.220,user32,ops
10.0.1.221,user33,eng
10.0.1.222,user34,eng
10.0.1.223,user35,eng
10.0.1.224,user36,finance
10.0.1.225,user00,eng
10.0.1.226,user01,eng
10.0.1.227,user02,finance
10.0.1.228,user03,ops
10.0.1.229,user04,eng
10.0.1.230,user05,finance
10.0.1.231,user06,eng
10.0.1.232,user07,ops
10.0.1.233,user08,eng
10.0.1.234,user09,eng
10.0.1.235,user10,ops
10.0.1.236,user11,finance
10.0.1.237,user12,eng
10.0.1.238,user13,eng
10.0.1.239,user14,ops
10.0.1.240,user15,ops
10.0.1.241,user16,eng
10.0.1.242,user17,ops
10.0.1.243,user18,finance
10.0.1.244,user19,finance
10.0.1.245,user20,finance
10.0.1.246,user21,finance
10.0.1.247,user22,finance
10.0.1.248,user23,eng
10.0.1.249,user24,eng
10.0.1.250,user25,finance
10.0.1.251,user26,finance
10.0.1.252,user27,eng
10.0.1.253,user28,finance
10.0.1.254,user29,eng
10.0.1.255,user30,ops
10.0.2.0,user31,eng
10.0.2.1,user32,eng
10.0.2.2,user33,finance
10.0.2.3,user34,ops
10.0.2.4,user35,ops
10.0.2.5,user36,ops
10.0.2.6,user00,eng
10.0.2.7,user01,ops
10.0.2.8,user02,eng
10.0.2.9,user03,finance
10.0.2.10,user04,eng
10.0.2.11,user05,finance
10.0.2.12,user06,ops
10.0.2.13,user07,finance
10.0.2.14,user08,eng
10.0.2.15,user09,finance
10.0.2.16,user10,eng
10.0.2.17,user11,finance
10.0.2.18,user12,ops
10.0.2.19,user13,finance
10.0.2.20,user14,eng
10.0.2.21,user15,finance
10.0.2.22,user16,ops
10.0.2.23,user17,finance
10.0.2.24,user18,finance
10.0.2.25,user19,eng
10.0.2.26,user20,finance
10.0.2.27,user21,eng
10.0.2.28,user22,finance
10.0.2.29,user23,eng
10.0.2.30,user24,ops
10.0.2.31,user25,eng
10.0.2.32,user26,eng
10.0.2.33,user27,ops
10.0.2.34,user28,finance
10.0.2.35,user29,finance
10.0.2.36,user30,ops
10.0.2.37,user31,ops
10.0.2.38,user32,finance
10.0.2.39,user33,finance
10.0.2.40,user34,finance
10.0.2.41,user35,eng
10.0.2.42,user36,finance
10.0.2.43,user00,finance
10.0.2.44,user01,finance
10.0.2.45,user02,eng
10.0.2.46,user03,ops
10.0.2.47,user04,eng
10.0.2.48,user05,ops
10.0.2.49,user06,finance
10.0.2.50,user07,eng
10.0.2.51,user08,eng
